latitude,longitude,addr:city,name,addr:street:en,fee,email,opening_hours,phone,website,type
42.0032939,21.4367598,Cкoпje,Куршумли-ан,,no,,Mo-Sa 10:00-15:00; Su 09:00-13:00,,,history
42.003194,21.4363088,Cкoпje,Музеј на Македонија,Прохор Пчински,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:01,,,history
42.0043142,21.4325172,Cкoпje,Музеј на современата уметност,Самоилова,yes,msu-info@msuskopje.org.mk,Tu-Sa 10:00-15:00; Su 09:00-13:02,+389 2 3117734,https://msu.mk/home/,history
41.0299956,21.3350427,Битола,Магаза,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:03,,,history
41.7232436,21.7892333,Велес,Спомен Костурница,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:04,,,history
41.998911,21.4355586,Cкoпje,Национална галерија Даут-пашин амам,,yes,contact@nationalgallery.mk,Tu-Sa 10:00-15:00; Su 09:00-13:05,+389 2 3133102,https://nationalgallery.mk/,history
41.9982848,21.4329425,Cкoпje,Музеј на македонската борба,11 Март,yes,mmb@mmb.org.mk,Tu-Sa 10:00-15:00; Su 09:00-13:06,+389 2 3256 667,http://mmb.org.mk/w/,history
41.9984101,21.4331205,Cкoпje,Меморијален центар на холокаустот на Евреите од Македонија,Самоилова,no,,Tu-Sa 10:00-15:00; Su 09:00-13:07,+389 2 3122697,https://www.holocaustfund.org/,history
41.9912181,21.4288883,Cкoпje,Музеј на Град Скопје,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:08,+389 2 3114742,http://www.mgs.org.mk/,history
41.9939282,21.4307694,Cкoпje,Спомен куќа на Мајка Тереза,Македонија,no,info@memorialhouseofmotherteresa.org,Tu-Sa 10:00-15:00; Su 09:00-13:09,+389 2 3290674,http://www.memorialhouseofmotherteresa.org/,history
41.34503,21.5522424,Крушево,11 Октомври 1941,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:10,,,history
41.3757107,21.2457177,Крушево,Музеј на НОВ,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:11,,,history
41.3775293,21.248402,Крушево,Македониум,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:12,,,history
40.9946609,20.7979124,Охрид,Залив на Коските,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:13,,,history
41.3691154,21.2452388,Крушево,Музеј на Илинденското востание и Крушевската Република,Димитар Бербероски - Таќа Бербер,,,Tu-Sa 10:00-15:00; Su 09:00-13:14,+38970619597;+38970356621,,history
41.9970517,21.4340186,Cкoпje,Археолошки музеј на Македонија,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:15,,,history
41.987037,21.287509,Скопје,Ел Калем,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:16,,,history
41.736621,22.1894327,Штип,Музеј Штип,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:17,,,history
41.7375614,22.1924737,Штип,Безистен Штип,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:18,,,history
42.0061214,20.967434,Тетово,Бегов амам,,yes,,Tu-Sa 10:00-15:00; Su 09:00-13:19,,,history
41.8649413,21.9418167,Свети Николе,Народен Музеј,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:20,,,history
41.9150435,22.4138306,Кочани,Ловен Дом,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:21,,,history
41.3722171,21.246667,Крушево,Леарница,Тома Никлев,no,,Tu-Sa 10:00-15:00; Su 09:00-13:22,+38970356621;+38975202123,,history
41.3660204,20.6485817,Битола,Спомен дом на Првата македонска народноослободителна бригада,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:23,,,history
41.0408563,21.3606342,Битола,Француски воени гробишта,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:24,,,history
41.4493541,21.5583418,Прилеп,Спомен-дом Блаже Конески,,no,,Tu-Sa 10:00-15:00; Su 09:00-13:25,,,history
41.0234533,21.3359067,Битола,Музеј на Битола,Св. Климент Охридски,no,,Tu-Sa 10:00-15:00; Su 09:00-13:26,,,history
