name,city,xCoordinate,yCoordinate,hasEntranceFee,website,openingHours,phoneNumber,type
Куршумли-ан,Cкoпje,42.0032939,21.4367598,false,,Mo-Sa 10:00-15:00; Su 09:00-13:00,,history
Музеј на Македонија,Cкoпje,42.003194,21.4363088,true,,Tu-Sa 10:00-15:00; Su 09:00-13:01,,history
Музеј на современата уметност,Cкoпje,42.0043142,21.4325172,true,msu-info@msuskopje.org.mk,Tu-Sa 10:00-15:00; Su 09:00-13:02,+389 2 3117734,history
Магаза,Битола,41.0299956,21.3350427,false,,Tu-Sa 10:00-15:00; Su 09:00-13:03,,history
Спомен Костурница,Велес,41.7232436,21.7892333,false,,Tu-Sa 10:00-15:00; Su 09:00-13:04,,history
Национална галерија Даут-пашин амам,Cкoпje,41.998911,21.4355586,true,contact@nationalgallery.mk,Tu-Sa 10:00-15:00; Su 09:00-13:05,+389 2 3133102,history
Музеј на македонската борба,Cкoпje,41.9982848,21.4329425,true,mmb@mmb.org.mk,Tu-Sa 10:00-15:00; Su 09:00-13:06,+389 2 3256 667,history
Меморијален центар на холокаустот на Евреите од Македонија,Cкoпje,41.9984101,21.4331205,false,,Tu-Sa 10:00-15:00; Su 09:00-13:07,+389 2 3122697,history
Музеј на Град Скопје,Cкoпje,41.9912181,21.4288883,true,,Tu-Sa 10:00-15:00; Su 09:00-13:08,+389 2 3114742,history
Спомен куќа на Мајка Тереза,Cкoпje,41.9939282,21.4307694,false,info@memorialhouseofmotherteresa.org,Tu-Sa 10:00-15:00; Su 09:00-13:09,+389 2 3290674,history
11 Октомври 1941,Крушево,41.34503,21.5522424,false,,Tu-Sa 10:00-15:00; Su 09:00-13:10,,history
Музеј на НОВ,Крушево,41.3757107,21.2457177,false,,Tu-Sa 10:00-15:00; Su 09:00-13:11,,history
Македониум,Крушево,41.3775293,21.248402,false,,Tu-Sa 10:00-15:00; Su 09:00-13:12,,history
Залив на Коските,Охрид,40.9946609,20.7979124,false,,Tu-Sa 10:00-15:00; Su 09:00-13:13,,history
Музеј на Илинденското востание и Крушевската Република,Крушево,41.3691154,21.2452388,false,,Tu-Sa 10:00-15:00; Su 09:00-13:14,+38970619597;+38970356621,history
Археолошки музеј на Македонија,Cкoпje,41.9970517,21.4340186,true,,Tu-Sa 10:00-15:00; Su 09:00-13:15,,history
Ел Калем,Скопје,41.987037,21.287509,false,,Tu-Sa 10:00-15:00; Su 09:00-13:16,,history
Музеј Штип,Штип,41.736621,22.1894327,false,,Tu-Sa 10:00-15:00; Su 09:00-13:17,,history
Безистен Штип,Штип,41.7375614,22.1924737,false,,Tu-Sa 10:00-15:00; Su 09:00-13:18,,history
Бегов амам,Тетово,42.0061214,20.967434,true,,Tu-Sa 10:00-15:00; Su 09:00-13:19,,history
Народен Музеј,Свети Николе,41.8649413,21.9418167,false,,Tu-Sa 10:00-15:00; Su 09:00-13:20,,history
Ловен Дом,Кочани,41.9150435,22.4138306,false,,Tu-Sa 10:00-15:00; Su 09:00-13:21,,history
Леарница,Крушево,41.3722171,21.246667,false,,Tu-Sa 10:00-15:00; Su 09:00-13:22,+38970356621;+38975202123,history
Спомен дом на Првата македонска народноослободителна бригада,Битола,41.3660204,20.6485817,false,,Tu-Sa 10:00-15:00; Su 09:00-13:23,,history
Француски воени гробишта,Битола,41.0408563,21.3606342,false,,Tu-Sa 10:00-15:00; Su 09:00-13:24,,history
